               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.029525,            0.016616,           0.0018367,             0.94289,             0.82042,             0.85735,              0.5009,             0.03472,            0.013883,           0.0022571,           0.0099277,           0.0099277,           0.0099277
                  75,            0.034472,            0.016168,           0.0016922,              0.8338,             0.81439,               0.817,             0.52048,            0.038872,            0.013928,           0.0022883,           0.0099267,           0.0099267,           0.0099267
                  76,            0.033641,            0.016823,           0.0020499,             0.94615,             0.81169,             0.84759,             0.51844,            0.038799,            0.013902,           0.0025495,           0.0099258,           0.0099258,           0.0099258
                  77,            0.036794,            0.017008,           0.0020067,             0.85868,             0.82955,             0.80661,             0.47536,            0.033589,            0.013663,           0.0025813,           0.0099248,           0.0099248,           0.0099248
                  78,            0.029403,            0.015103,           0.0014867,             0.95282,             0.81439,             0.86033,             0.58657,            0.035276,            0.013804,           0.0025048,           0.0099238,           0.0099238,           0.0099238
                  79,             0.03418,            0.016679,           0.0013658,             0.96239,             0.81439,             0.86825,             0.60095,            0.034722,            0.013725,           0.0025375,           0.0099228,           0.0099228,           0.0099228
                  80,            0.032478,            0.016565,           0.0012219,             0.94757,             0.78409,             0.85748,             0.53333,            0.040008,            0.013916,           0.0021913,           0.0099218,           0.0099218,           0.0099218
                  81,            0.036496,             0.01461,           0.0012554,              0.9721,              0.7926,             0.85954,             0.51757,            0.036634,            0.014286,           0.0022306,           0.0099208,           0.0099208,           0.0099208
                  82,            0.031782,            0.017778,           0.0010663,             0.92177,             0.78409,             0.84255,             0.53378,            0.040164,            0.014614,           0.0018972,           0.0099198,           0.0099198,           0.0099198
                  83,            0.037178,            0.017326,          0.00096422,             0.94107,             0.78065,             0.81868,             0.51144,            0.038882,            0.015128,           0.0019155,           0.0099188,           0.0099188,           0.0099188
                  84,            0.031978,            0.015027,           0.0012218,             0.95517,             0.76894,             0.84494,             0.60111,            0.038519,            0.015273,            0.001998,           0.0099178,           0.0099178,           0.0099178
                  85,            0.035492,            0.015661,           0.0011287,             0.94438,             0.79924,             0.85008,             0.58976,            0.035744,            0.014853,           0.0022284,           0.0099168,           0.0099168,           0.0099168
                  86,            0.028143,             0.01549,           0.0012902,              0.9256,             0.78409,             0.83969,             0.56904,            0.036682,             0.01431,           0.0025959,           0.0099159,           0.0099159,           0.0099159
                  87,            0.034456,            0.017545,           0.0011161,             0.94571,             0.80611,             0.84968,              0.5177,            0.039467,            0.014158,           0.0026357,           0.0099149,           0.0099149,           0.0099149
                  88,            0.028504,            0.014151,           0.0011938,             0.97215,             0.79924,             0.85119,             0.48086,            0.034956,            0.014367,           0.0024289,           0.0099139,           0.0099139,           0.0099139
                  89,            0.033418,            0.015442,           0.0011622,             0.90918,             0.79755,             0.84041,             0.52498,             0.03686,            0.014372,           0.0024386,           0.0099129,           0.0099129,           0.0099129
                  90,            0.029523,            0.015254,           0.0022917,             0.93536,             0.79924,             0.82585,             0.45151,            0.038151,            0.015668,            0.002487,           0.0099119,           0.0099119,           0.0099119
                  91,            0.031308,            0.013682,           0.0014423,             0.89562,             0.79924,             0.85386,             0.54392,            0.033441,            0.015126,           0.0027585,           0.0099109,           0.0099109,           0.0099109
                  92,            0.028406,            0.013913,           0.0018114,             0.92579,             0.79924,             0.84424,             0.56058,            0.038674,            0.016119,           0.0029363,           0.0099099,           0.0099099,           0.0099099
                  93,            0.038795,            0.016169,           0.0014587,             0.96505,             0.79924,             0.83662,             0.49019,            0.039069,            0.015932,           0.0030416,           0.0099089,           0.0099089,           0.0099089
                  94,            0.031387,            0.015319,           0.0014782,             0.94817,             0.79924,             0.85401,             0.52352,            0.039953,            0.015325,           0.0030675,           0.0099079,           0.0099079,           0.0099079
                  95,            0.037246,            0.016021,           0.0014268,             0.91205,             0.79924,             0.83963,             0.50211,            0.038361,            0.015199,           0.0032076,           0.0099069,           0.0099069,           0.0099069
                  96,            0.030699,            0.016004,           0.0014659,             0.93061,             0.79924,             0.84575,             0.55469,            0.036215,            0.015784,           0.0032846,            0.009906,            0.009906,            0.009906
                  97,            0.033033,            0.014943,           0.0014375,             0.91729,             0.82409,             0.84099,             0.56596,            0.033236,            0.014908,           0.0032205,            0.009905,            0.009905,            0.009905
                  98,            0.027239,            0.015006,           0.0014354,             0.95641,             0.78409,             0.84799,             0.55096,            0.034465,            0.014809,           0.0031682,            0.009904,            0.009904,            0.009904
                  99,            0.031391,            0.015848,           0.0012339,               0.916,              0.8226,             0.85341,             0.55116,            0.032425,            0.014992,           0.0031882,            0.009903,            0.009903,            0.009903
                 100,            0.025887,            0.015423,           0.0011528,             0.92236,             0.81439,             0.84689,              0.5817,            0.034383,            0.015131,            0.002952,            0.009902,            0.009902,            0.009902
                 101,            0.028242,            0.014461,          0.00098879,              0.9371,              0.8145,             0.85249,             0.56546,            0.032021,            0.015304,           0.0027871,            0.009901,            0.009901,            0.009901
                 102,            0.026029,            0.012731,           0.0010367,             0.90364,             0.81439,             0.83159,             0.49591,            0.040259,            0.015248,           0.0027322,              0.0099,              0.0099,              0.0099
                 103,            0.036588,            0.016719,          0.00095071,             0.94603,             0.82955,             0.85578,             0.57209,            0.036016,            0.015194,            0.002617,            0.009899,            0.009899,            0.009899
                 104,            0.030662,            0.015888,            0.001032,             0.95515,             0.82955,             0.84732,             0.49955,             0.03978,            0.015751,           0.0025566,            0.009898,            0.009898,            0.009898
                 105,            0.037828,            0.017121,              0.0011,             0.95527,             0.82955,             0.85455,             0.49307,             0.03566,            0.014867,           0.0025758,            0.009897,            0.009897,            0.009897
                 106,            0.033505,            0.015066,           0.0011794,             0.95293,             0.82955,             0.85457,             0.56141,            0.033668,            0.014446,           0.0026332,           0.0098961,           0.0098961,           0.0098961
                 107,            0.029139,            0.015769,           0.0013352,             0.96378,             0.82791,             0.85473,             0.57743,            0.030937,             0.01411,           0.0027364,           0.0098951,           0.0098951,           0.0098951
                 108,            0.025517,            0.012909,           0.0013935,             0.93307,             0.82955,             0.85012,             0.59999,            0.033635,            0.014747,           0.0026698,           0.0098941,           0.0098941,           0.0098941
                 109,            0.033104,             0.01551,           0.0013069,             0.79285,             0.82955,             0.81926,             0.55057,            0.039158,            0.015134,           0.0026688,           0.0098931,           0.0098931,           0.0098931
                 110,            0.031697,            0.015725,           0.0013911,             0.88778,             0.82955,             0.83596,             0.51516,            0.039485,            0.015435,           0.0023209,           0.0098921,           0.0098921,           0.0098921
                 111,            0.036567,             0.01506,           0.0013168,             0.92748,             0.82955,             0.84753,             0.54967,            0.033723,            0.014812,           0.0023877,           0.0098911,           0.0098911,           0.0098911
                 112,            0.027637,            0.013499,           0.0014077,             0.93296,             0.82955,             0.84215,             0.52026,            0.035359,            0.014447,           0.0023585,           0.0098901,           0.0098901,           0.0098901
                 113,            0.034179,            0.014699,           0.0011993,             0.94381,             0.82955,             0.84152,             0.56895,            0.035701,            0.014639,           0.0023858,           0.0098891,           0.0098891,           0.0098891
                 114,            0.029965,            0.015612,           0.0017719,             0.93684,             0.82955,             0.83998,             0.54882,            0.034688,            0.014619,            0.002191,           0.0098881,           0.0098881,           0.0098881
